text,label,risk_code
right now No one in this world would miss me. I'm invisible and insignificant. honestly,High,2
i think I feel numb most of the time. Not sad exactly just empty. anyone else feel this way,Medium,1
i think I've been having thoughts about ending it all. The darkness is consuming me. not sure to do,High,2
feeling like Work stress is getting to me. I feel like I'm always behind. just venting,Medium,1
Feeling invisible work and in my personal life.,Medium,1
can't help but feel I've pushed everyone everyone away. I'm completely isolated and broken beyond repair. it is what it is,High,2
tbh I feel like I'm drowning and no one can hear me screaming for help. not sure what to do,High,2
honestly I've been isolating myself more and more. People drain my energy. need to talk about this,Medium,1
been thinking I've been self-harming to cope with the emotional pain. the only relief. it is what it is,High,2
tbh I've stopped taking my medication because I don't care what happens to me. i guess,High,2
can't help but feel I feel like a burden to my and family. They'd be better off.,Medium,1
Started avoiding phone calls and and messages. Social interaction feels exhausting. anyone else feel this way,Medium,1
today i feel No one one cares about me. I'm completely alone in this dark world. honestly,High,2
lately I've been planning how to end suffering. I can't do this anymore. not sure what to do,High,2
today i feel Feeling lonely even when I'm around people. No one truly understands. need to talk about this,Medium,1
been thinking I can't function anymore. Basic existence is an overwhelming burden. it is what it is,High,2
been thinking My anxiety is making it hard to eat. I've lost my appetite completely.,Medium,1
honestly Feel like I'm walking through fog. Nothing clear or real. just venting,Medium,1
"i think My mood swings are getting worse. One minute I'm fine, the next I'm not. not sure what to do",Medium,1
right now Every day is torture. I don't know how much more I can take. it is is what it is,High,2
tbh Caught up on sleep this weekend and feeling much better now.,Low,0
can't help but feel The darkness has won. I have no strength left to fight it. honestly,High,2
Feeling defeated after another rejection. Starting to lose hope. just venting,Medium,1
feeling like Simple walk in the neighborhood reminded me to appreciate the little things. just venting,Low,0
today i feel I've been crying for no apparent reason. Not sure what's wrong with me. it is what it is,Medium,1
lately I feel completely empty inside. Nothing brings me joy or hope. just venting,High,2
i think Feeling invisible at work and in my personal life. not sure what to do,Medium,1
tbh I can't breathe through the panic and despair. It never stops. i guess,High,2
been thinking Volunteered at the shelter today. Giving back feels meaningful. it is what it is,Low,0
think I'm beyond help. No therapy or medication can fix what's broken inside me.,High,2
right now The suicidal thoughts are getting louder and harder to ignore. anyone else feel this way,High,2
i think Everything feels like too effort lately. Even basic tasks are hard.,Medium,1
Sometimes I think everyone would be better off without me in their lives. just venting,High,2
can't help but feel Started reading a new book and I'm really enjoying it so far. not sure what to do,Low,0
can't help but feel Just finished a wonderful dinner with friends. Life is good. honestly,Low,0
today i feel Grateful for the support system I have. Life has its ups and downs but I'm okay. anyone else feel this way,Low,0
today i feel Volunteered at the shelter today. Giving back feels meaningful. not sure what to do,Low,0
tbh I hate waking up every morning to face another another day of this nightmare. just venting,High,2
honestly Beautiful sunrise this morning. Starting the day with positivity. just venting,Low,0
been thinking I've been eating a lot more than usual. Food is my only comfort right right now. anyone else feel this way,Medium,1
Finally finished decorating my apartment. It really feels like home now. it is what it is,Low,0
i think I've lost all hope. Nothing is ever going to get better. Why try.,High,2
tbh I've been cutting myself more frequently. The scars are getting deeper. need to talk about this,High,2
can't help but feel I've been eating a lot more than usual. Food is my only comfort right now. need to talk about this,Medium,1
been thinking Anxiety has been getting worse. Social Social situations make me really uncomfortable.,Medium,1
just wanted to say Feeling invisible at work and in my personal life. i guess,Medium,1
tbh Grateful for the support system system I have. Life has its ups and downs but I'm okay. just venting,Low,0
i think Having trouble concentrating. My thoughts keep wandering to negative places. honestly,Medium,1
can't help but feel I've been thinking about hurting myself. The pain inside is unbearable. it is what it is,High,2
i think I'm always tired but can't sleep. This cycle is really frustrating. honestly,Medium,1
been thinking I wrote my final note note today. I'm so tired of fighting this battle alone. just venting,High,2
lately The pressure to succeed is crushing me. I feel like a failure. need to talk about this,Medium,1
tbh I'm always tired but can't sleep. This cycle cycle is really frustrating. i guess,Medium,1
honestly I've been cutting myself more frequently. The scars are getting deeper. i guess,High,2
i think Watched a great movie with friends. Sometimes simple things bring joy. anyone else feel this way,Low,0
lately I pretend to be fine around others but inside I'm struggling. not sure what to do,Medium,1
just wanted to say Just came back from vacation feeling refreshed and recharged.,Low,0
Struggling to get out of bed most mornings. What's the point anyway. just venting,Medium,1
honestly I can't remember the last time I genuinely laughed or felt happy.,Medium,1
feeling like Anxiety has been getting worse. Social situations make me really uncomfortable. just venting,Medium,1
i think Can't seem to shake this feeling of worry. Everything feels uncertain. just venting,Medium,1
right now I've been drinking heavily to numb the pain. Nothing else works anymore. not sure what to do,High,2
Constant worry about money and the future. It's consuming it is what it is,Medium,1
can't help but feel Anxiety has been getting worse. Social situations make me really uncomfortable. it is what it is,Medium,1
today i feel Learning a new skill and making progress. Small wins matter! honestly,Low,0
Coffee with an old friend today. Reconnecting feels wonderful.,Low,0
honestly I don't enjoy the I used to. Everything feels flat and boring. need to talk about this,Medium,1
i think The pressure to succeed is crushing me. I feel like a failure. need to talk about this,Medium,1
honestly I can't breathe through the panic and despair. It never stops. it is what it is,High,2
just to say My garden is blooming and it brings me such peace. need to talk about this,Low,0
i think Death seems like the only peaceful option left for someone like me. need to talk about this,High,2
feeling feeling like Just finished a wonderful dinner with friends. Life is good. it is what it is,Low,0
i think I can't function anymore. Basic existence is an overwhelming burden. not sure what to do,High,2
feeling like I pretend to be fine around others but inside I'm struggling. i guess,Medium,1
right now I feel trapped in a life I never wanted. There's no escape from this misery. i guess,High,2
tbh Enjoying some quiet time alone. Self care is important. i guess,Low,0
tbh I can't remember what happiness feels like. It's been dark for so long.,High,2
honestly Got a compliment at work today. Made my whole day brighter.,Low,0
right now I'm tired of pretending everything is okay when it really isn't. it is what it is,Medium,1
just wanted to say Sometimes I wonder if anyone notice if I just disappeared for a while.,Medium,1
feeling like Got a compliment at work today. Made my whole day brighter. just venting,Low,0
tbh Made someone smile today and that made my day too. it is what it is,Low,0
honestly My relationships feel strained. strained. I don't know how to communicate what I feel. need to talk about this,Medium,1
honestly Feeling overwhelmed with responsibilities. Not sure how to manage everything. honestly,Medium,1
been thinking No one in this world would miss me. I'm invisible and insignificant. not sure what to do,High,2
right now My anxiety is making it hard to eat. I've lost my appetite completely. need to talk about,Medium,1
today i feel The weekend used to be something I looked forward to. Now it's just more emptiness. anyone else feel this,Medium,1
can't help but feel Organized my room today and it feels so satisfying. i guess,Low,0
right now No one cares about me. I'm completely alone in this dark world. not sure what to do,High,2
just wanted to say Things have been tough lately. Struggling to find motivation to do anything. need to talk about this,Medium,1
tbh Enjoying some quiet time alone. Self care is important. need to talk about this,Low,0
can't help but feel I keep putting things off because nothing feels worth the effort.,Medium,1
right now Feeling invisible at work and in my personal life. i guess guess,Medium,1
Started reading a new book and I'm really enjoying it so far. anyone else feel this way,Low,0
tbh Finally got the promotion I've been working toward. Hard work pays off! not sure what to do,Low,0
lately lately I keep replaying conversations in my head wondering what I did wrong. honestly,Medium,1
honestly I can't remember what happiness feels It's been dark for so long. just venting,High,2
just wanted to say Enjoying a peaceful evening with a good book and some tea. i guess,Low,0
can't help but feel Constant worry about money and the future. It's consuming consuming me.,Medium,1
just wanted to say Feeling defeated after another Starting to lose hope.,Medium,1
today i feel Feeling defeated after another rejection. Starting to lose hope. not sure what to do,Medium,1
tbh Sometimes I wonder if anyone would notice if I just disappeared for a while. it is what it is,Medium,1
been thinking Coffee with an old friend today. Reconnecting feels,Low,0
tbh My anxiety is making it hard to eat. I've lost my appetite completely. honestly,Medium,1
feeling like Everything is crumbling around me and I have no will to rebuild. just venting,High,2
Grateful for the support system I have. Life has its ups and downs but I'm okay. anyone else feel this way,Low,0
just wanted to say I'm a mistake that should never have been born into this world. honestly,High,2
can't help but feel Started reading a new book and I'm really enjoying it so far.,Low,0
today i feel Feeling optimistic about future and the possibilities ahead.,Low,0
Sometimes I wonder if anyone would notice if I just disappeared for a while. anyone else feel this way,Medium,1
feeling like Watched a great movie with friends. Sometimes simple things bring joy. anyone else feel this way,Low,0
Enjoying the weather outside. Going for a walk in the park. it is what it is,Low,0
today i feel I hate waking up every morning to face another another day of this nightmare. just venting,High,2
today i feel The world would be better without me. I'm nothing but a burden.,High,2
honestly Had a great day at work today. Feeling productive and accomplished! need to talk about this,Low,0
honestly I can't breathe through the panic and despair. It never stops. i guess,High,2
I've lost everything that mattered. There's nothing left holding me here. just venting,High,2
can't help but feel Death seems like the only peaceful option left for someone like me. anyone else feel this way,High,2
i think I've been eating a lot more than usual. Food is my only comfort right now. it is what it is,Medium,1
been thinking I'm tired of pretending everything is okay when it really isn't. anyone else feel this way,Medium,1
feeling like Haven't been sleeping well. My mind keeps racing at night. not sure what to do,Medium,1
been thinking I hate myself and everything about my life. There's no way out. honestly,High,2
The suicidal thoughts are getting louder and harder to ignore. it is what it is,High,2
just wanted to say I hate myself and everything about my life. There's no way out. not sure what to do,High,2
feeling like Spent quality time with family this weekend. Feeling grateful. i guess,Low,0
lately I fantasize about not existing. existing. The world would keep spinning without me.,High,2
"today i feel Love spending weekends with my family, just doing simple things together. anyone else feel this way",Low,0
The pressure to succeed is crushing me. I feel like a failure. anyone else feel this way,Medium,1
today i feel I feel dead inside already. My body is just going through the motions. honestly,High,2
been thinking I feel like I'm drowning and no one can hear me screaming for help.,High,2
lately Spent the day at the beach. The ocean always calms my mind. anyone else feel this way,Low,0
honestly Lost interest in hobbies I used to love. Nothing me anymore. not sure what to do,Medium,1
i think Volunteered at the shelter today. Giving back feels meaningful. anyone else feel this way,Low,0
right now I breathe through the panic and despair. It never stops. need to talk about this,High,2
right now Everything feels like too much effort lately. Even basic tasks are hard.,Medium,1
honestly I wish I could just press pause on life for a while. it is what it is,Medium,1
just wanted to say Had an amazing lunch with colleagues. Good conversations always lift mood. need to talk about this,Low,0
been thinking Feeling content with where I I am in life right now. i guess,Low,0
I wish I could just disappear forever. Nobody would even care.,High,2
i think Having trouble concentrating. My thoughts keep wandering to negative places. honestly,Medium,1
feeling like Had a fun day exploring the local farmers market. not sure what to do,Low,0
honestly Feeling like I'm not good enough for anything. Low confidence days. need to talk about this,Medium,1
right now Beautiful sunrise this morning. Starting the day with positivity. to talk about this,Low,0
I've been having thoughts about ending it all. The darkness is consuming me. honestly,High,2
right now Feeling a bit down today. Work has been really stressful lately. not sure what to do,Medium,1
today i feel Death seems like the only peaceful option left for someone like me. just venting,High,2
lately There is no future for me. Everything I touch turns to ash. not sure what what to do,High,2
just wanted to say My relationships feel strained. I don't know how to communicate what I feel. honestly,Medium,1
tbh The weekend used to be something I I looked forward to. Now it's just more emptiness. need to talk about this,Medium,1
can't help but feel Beautiful sunrise this morning. Starting the day with positivity. anyone else feel this way,Low,0
feeling like Having trouble concentrating. My thoughts keep wandering to negative places. honestly,Medium,1
honestly I've been thinking about hurting myself. The pain inside is unbearable. it is what it it is,High,2
lately I've been drinking heavily to numb the pain. Nothing else works anymore. anyone else feel this way,High,2
tbh The darkness has won. I have no strength left to fight it. just venting,High,2
I don't see the point point in living anymore. Everything feels hopeless and dark. need to talk about this,High,2
tbh I'm always on edge waiting for something bad to happen. not sure what to do,Medium,1
lately I've given away my possessions. I won't need them where I'm going. not sure what to do,High,2
i think Everything feels like too effort lately. Even basic tasks are hard. not sure what to do,Medium,1
Meditation has been helping me stay centered lately. it is what it is,Low,0
feeling like Trying out a new recipe tonight. Cooking always makes me happy. i guess,Low,0
feeling like Started reading a new book and I'm really enjoying it so far.,Low,0
just wanted to say I've been isolating for I haven't left my room or spoken to anyone. i guess,High,2
been thinking I can't remember what happiness feels like. It's been dark for so long. honestly,High,2
can't help but feel I feel numb most of the the time. Not sad exactly just empty. i guess,Medium,1
feeling like Things have been tough lately. Struggling to find motivation to do anything. i guess,Medium,1
today i feel I pretend to be fine around others but inside I'm struggling. it is what it is,Medium,1
right now Constant headaches from stress. My body is telling me something is wrong. need to talk about,Medium,1
today i feel I feel completely empty inside. Nothing brings me joy or hope. need to talk about this,High,2
can't help but feel I've written goodbye letters. I don't think I can hold on much much longer.,High,2
been thinking I feel like I'm falling behind everyone else my age. i guess,Medium,1
tbh Beautiful sunrise this morning. Starting the day with positivity. not sure what to do,Low,0
lately Feeling exhausted all the time even though I haven't done much. honestly,Medium,1
can't help but feel Some days are okay but most feel gray and empty.,Medium,1
been thinking I hate myself and everything about my life. There's no way out. i guess,High,2
honestly I've been cutting myself frequently. The scars are getting deeper. anyone else feel this way,High,2
feeling No one cares about me. I'm completely alone in this dark world. honestly,High,2
tbh I keep putting things off because nothing feels worth the effort. anyone else feel this way,Medium,1
today i feel My garden is blooming and it brings me such peace. peace. anyone else feel this way,Low,0
right now Listened to my favorite album today. Music is good for the soul. it is what it is,Low,0
right now now Constant headaches from stress. My body is telling me something is wrong. anyone else feel this way,Medium,1
can't help but feel I keep comparing myself to others and it makes me feel inadequate. i guess,Medium,1
right now Feeling a bit down today. Work has been really stressful lately. lately. i guess,Medium,1
lately lately Got a compliment at work today. Made my whole day brighter. just venting,Low,0
can't help but feel Struggling to get get out of bed most mornings. What's the point anyway. not sure what to do,Medium,1
honestly I've been thinking about hurting myself. The pain inside is unbearable. i guess,High,2
right now My anxiety is making it hard to eat. I've lost my appetite completely.,Medium,1
help but feel Feeling disconnected from friends. Everyone seems to be moving on without me. just venting,Medium,1
today i feel I feel like I'm falling behind everyone else my age. i guess,Medium,1
tbh This is my last cry for help. If no one hears me I'm done trying. just venting,High,2
tbh I'm always tired but can't sleep. This cycle is really frustrating. i guess,Medium,1
I can't remember what happiness feels like. It's been for so long. it is what it is,High,2
right now The world would be better without me. I'm nothing but a burden. it is what it is,High,2
I don't see the point in living anymore. Everything feels hopeless and dark. just venting,High,2
feeling like Today I choose happiness and gratitude for what I have. anyone else else feel this way,Low,0
just wanted to say Struggling to get out out of bed most mornings. What's the point anyway. i guess,Medium,1
Organized my room today and it feels so satisfying. honestly,Low,0
feeling like I can't breathe through the panic and despair. It never stops. it is what it is,High,2
just wanted to say No one in this world would miss me. I'm invisible and insignificant. anyone else feel this way,High,2
just wanted to say Adopted a new puppy and I'm over the moon with happiness. not sure what to do,Low,0
can't help but feel I've given away my possessions. I won't need them where I'm going. honestly,High,2
today i feel I've been self-harming to cope with the emotional pain. It's the only relief. honestly,High,2
i think Coffee with an old friend today. Reconnecting feels wonderful. it is what it is,Low,0
feeling like Haven't been sleeping well. My mind keeps racing at night. it is what it is,Medium,1
i think No one in this world would miss me. I'm invisible and insignificant.,High,2
today i feel I feel like a burden to my friends and family. They'd be better off. it is what it is,Medium,1
been thinking I feel trapped in a life I never wanted. There's no escape from this misery. honestly,High,2
The world would be better without me. I'm nothing but a burden. to talk about this,High,2
honestly Got a compliment at work today. Made my whole whole day brighter. need to talk about this,Low,0
Today I choose happiness and gratitude for what I have. anyone else feel this way,Low,0
honestly Feeling content with where am in life right now. anyone else feel this way,Low,0
lately Volunteered at the shelter today. Giving back feels meaningful. not sure what to do,Low,0
today i feel Had a good conversation with my therapist. Feeling hopeful about progress. it is what it is,Low,0
